Title,Price,Suburb,Address,City,Bedrooms,Bathrooms,Parking,Size,URL,Agent
2 Bedroom Apartment,650000,Fleurhof,"6 Ss THE Terrace At 3006 Fleurhof, 5 Kwango",Gauteng,2.0,1.0,2.0,41 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/116021260,Estate Agency profile for RE/MAX Superior - Mulbarton
2 Bedroom Apartment,695000,Linden,"35 Ss Brazilia, 31 8th Street",Gauteng,2.0,1.0,1.0,67 m²,https://www.property24.com/for-sale/linden/randburg/gauteng/5779/116040452,Estate Agency profile for RE/MAX Town and Country
2 Bedroom Apartment,520000,Horizon View,4 Aubrey,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/horizon-view/roodepoort/gauteng/721/116010012,Estate Agency profile for Keller Williams Advance
2 Bedroom Apartment,615000,Bromhof,"Caymans, 332 Kelly Avenue",Gauteng,2.0,1.0,2.0,66 m²,https://www.property24.com/for-sale/bromhof/randburg/gauteng/4280/115996073,Estate Agency profile for ERA North Riding Properties
2 Bedroom Apartment,699000,Ferndale,"6 Fern River, 302 Fern Avenue",Gauteng,2.0,1.0,2.0,66 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/115995323,Estate Agency profile for Mandated
1 Bedroom Apartment,485000,Florida,15a 4th Avenue,Gauteng,1.0,1.0,1.0,56 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/115992517,Estate Agency profile for Keller Williams Advance
2 Bedroom Apartment,679999,Silverfields,"28 Felicity Court, 11 Hartford Avenue",Gauteng,2.0,,1.0,,https://www.property24.com/for-sale/silverfields/krugersdorp/gauteng/980/116067493,
3 Bedroom House,550000,Groblerpark,80 Rothchild Road Groblerpark Ext86,Gauteng,3.0,2.0,1.0,87 m²,https://www.property24.com/for-sale/groblerpark/roodepoort/gauteng/688/116068847,
2 Bedroom Apartment,650000,Sundowner,"7 Barcelona, 1 Spica",Gauteng,2.0,2.0,2.0,80 m²,https://www.property24.com/for-sale/sundowner/randburg/gauteng/4298/115990678,Estate Agency profile for EXP South Africa
2 Bedroom Apartment,420000,Rua Vista,7013 6th Street Street,Gauteng,2.0,1.0,1.0,48 m²,https://www.property24.com/for-sale/rua-vista/centurion/gauteng/594/116043188,Estate Agency profile for CPS Properties
1 Bedroom Apartment,610000,Jackal Creek Golf Estate,13 Elberta Road,Gauteng,1.0,1.0,1.0,51 m²,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/115990676,Estate Agency profile for Etchells & Young Property Brokers
2 Bedroom Apartment,690000,North Riding,51 Northumberland Park 1 Dexter Road,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/north-riding/randburg/gauteng/4455/116067516,
2 Bedroom Apartment,610000,Groblerpark,Kipling Street,Gauteng,2.0,2.0,,61 m²,https://www.property24.com/for-sale/groblerpark/roodepoort/gauteng/688/115733883?plId=2036339&plt=4,Estate Agency profile for Genlet Properties
1 Bedroom Apartment,589000,Ferndale,"25 Sharalumbi, 340 Main Avenue",Gauteng,1.0,1.0,1.0,55 m²,https://www.property24.com/for-sale/ferndale/randburg/gauteng/4406/115539338?plId=2049164&plt=4,Estate Agency profile for Renprop Residential
2 Bedroom Apartment,475000,Lewisham,"11 Ss Selati Tuiste, 15 Posthumus Street",Gauteng,2.0,1.0,2.0,98 m²,https://www.property24.com/for-sale/lewisham/krugersdorp/gauteng/917/116012735,Estate Agency profile for EZI Properties
1 Bedroom Apartment,580000,Jackal Creek Golf Estate,,Gauteng,1.0,1.0,2.0,51 m²,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/115730410?plId=2042442&plt=4,Estate Agency profile for Jackal Creek Properties
3 Bedroom Apartment,685000,Florida,15a 4th Avenue,Gauteng,3.0,1.0,1.0,98 m²,https://www.property24.com/for-sale/florida/roodepoort/gauteng/1574/115991202,Estate Agency profile for Keller Williams Advance
3 Bedroom Apartment,650000,Krugersdorp North,"28 Lakeside Gardens, 22 Begin Street C\o Viljoen",Gauteng,3.0,2.0,2.0,97 m²,https://www.property24.com/for-sale/krugersdorp-north/krugersdorp/gauteng/913/116014043,
2 Bedroom Apartment,679999,Silverfields,"28 Felicity Court, 11 Hartford Avenue",Gauteng,2.0,,1.0,,https://www.property24.com/for-sale/silverfields/krugersdorp/gauteng/980/115956176,
Ilanga    Development in Windsor East,410000410000,,,Gauteng,,,,49 m²,https://www.property24.com/new-developments-for-sale/windsor-east/randburg/gauteng/ilanga/4522/5328,
2 Bedroom Apartment,650000,Radiokop,"1222 Amplifier Street, Pembrooke Complex",Gauteng,2.0,1.0,1.0,64 m²,https://www.property24.com/for-sale/radiokop/roodepoort/gauteng/756/116035637,
1 Bedroom Apartment,450000,Hamberg,,Gauteng,1.0,1.0,1.0,70 m²,https://www.property24.com/for-sale/hamberg/roodepoort/gauteng/693/116045173,Estate Agency profile for RE/MAX Masters  - Weltevreden Park
1 Bedroom Apartment,320000,Windsor East,68 Duchesses Avenue,Gauteng,1.0,1.0,1.0,69 m²,https://www.property24.com/for-sale/windsor-east/randburg/gauteng/4522/116030202,Estate Agency profile for Rawson Properties Northcliff
1 Bedroom Apartment,375000,Horison,2 Aubrey Avenue 11 The Gables,Gauteng,1.0,1.0,1.0,34 m²,https://www.property24.com/for-sale/horison/roodepoort/gauteng/718/116018378,
3 Bedroom Apartment,650000,Ruimsig,"117 Nyu, 720 Academy Str",Gauteng,3.0,2.0,1.0,82 m²,https://www.property24.com/for-sale/ruimsig/roodepoort/gauteng/826/115981367,Estate Agency profile for Tyson Properties Gauteng
2 Bedroom Apartment,520000,Laser Park,1395 Zeiss,Gauteng,2.0,1.0,2.0,61 m²,https://www.property24.com/for-sale/laser-park/roodepoort/gauteng/12860/115993428,Estate Agency profile for Keller Williams Advance
2 Bedroom Apartment,470000,Fleurhof,30 46 Malacite Avenue,Gauteng,2.0,1.0,1.0,39 m²,https://www.property24.com/for-sale/fleurhof/roodepoort/gauteng/1645/115922482,Estate Agency profile for RE/MAX Advantage
2 Bedroom Apartment,645000,Noordhang,"213 Ss Woodlands Gardens, 92 Bellairs Drive",Gauteng,2.0,1.0,1.0,66 m²,https://www.property24.com/for-sale/noordhang/randburg/gauteng/4278/115974283,Estate Agency profile for RE/MAX Evolve
1 Bedroom Apartment,375000,Horison,2 Aubrey Avenue 11 The Gables,Gauteng,1.0,1.0,1.0,34 m²,https://www.property24.com/for-sale/horison/roodepoort/gauteng/718/115827011,
2 Bedroom Apartment,650000,Amorosa,10 Amorosa Villas 618 Totius Road,Gauteng,2.0,1.0,1.0,69 m²,https://www.property24.com/for-sale/amorosa/roodepoort/gauteng/659/115979886,Estate Agency profile for Status Mark Property Group
2 Bedroom Apartment,650000,North Riding,4 Dexter Rd,Gauteng,2.0,1.0,1.0,60 m²,https://www.property24.com/for-sale/north-riding/randburg/gauteng/4455/115998204,Estate Agency profile for Hamptons Realty Group
2 Bedroom Apartment,699000,Robindale,"16 Robin Glen, 5 Maiden Street",Gauteng,2.0,1.0,1.0,85 m²,https://www.property24.com/for-sale/robindale/randburg/gauteng/4398/116030779,Estate Agency profile for Jawitz Randburg
2 Bedroom Apartment,540000,Groblerpark,"14 Ss Valushia View, 13f Rothchild Road",Gauteng,2.0,2.0,1.0,63 m²,https://www.property24.com/for-sale/groblerpark/roodepoort/gauteng/688/115978727,Estate Agency profile for RE/MAX Town and Country
1 Bedroom Apartment,450000,Willowbrook,"94 Ruimsig Palms, 1355 Cabernet Street",Gauteng,1.0,1.0,1.0,53 m²,https://www.property24.com/for-sale/willowbrook/roodepoort/gauteng/11009/115988952,Estate Agency profile for EXP South Africa
1 Bedroom Apartment,630000,Jackal Creek Golf Estate,8 Palora Road,Gauteng,1.0,2.0,2.0,,https://www.property24.com/for-sale/jackal-creek-golf-estate/randburg/gauteng/12986/116067156,
2 Bedroom Apartment,699000,Allen's Nek,"57 (door Nr 14b) Park Avenue, 889 Duiker Street",Gauteng,2.0,1.0,3.0,70 m²,https://www.property24.com/for-sale/allens-nek/roodepoort/gauteng/839/115975607,Estate Agency profile for Earth Zone Properties
Du Vin Estate    Development in Celtisdal,6010201691760,,,Gauteng,,,,,https://www.property24.com/new-developments-for-sale/celtisdal/centurion/gauteng/du-vin-estate/393/1291,
